"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-01",101.4511,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-02",101.4317,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-03",101.2742,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-04",101.0102,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-05",100.8542,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-06",100.8906,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-07",101.0846,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-08",101.2461,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-09",101.4135,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-10",101.5471,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-11",101.3627,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-12",100.7744,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-01",99.93572,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-02",99.53837,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-03",99.62988,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-04",100.0109,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-05",100.288,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-06",100.3593,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-07",100.281,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-08",100.1968,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-09",100.1274,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-10",100.0541,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-11",99.98871,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-12",99.90249,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-01",99.79126,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-02",99.76181,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-03",99.70989,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-04",99.63847,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-05",99.56525,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-06",99.44972,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-07",99.26637,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-08",99.12022,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-09",98.99702,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-10",98.90934,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-11",99.0199,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-12",99.44036,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-01",100.1208,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-02",100.5738,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-03",100.6373,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-04",100.4556,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-05",100.2708,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-06",100.1715,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-07",100.1334,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-08",100.1182,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-09",100.1123,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-10",100.1415,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-11",100.2769,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-12",100.6061,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-01",101.0974,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-02",101.4156,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-03",101.4404,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-04",101.2378,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-05",101.0352,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-06",100.846,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-07",100.6727,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-08",100.5515,
